,Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
54,2019-02-06T20:04:29Z,Buy,LTC,35,USD,84.65,2962.87,2962.87,0.0,Bought 35 LTC for $2962.87 USD
55,2019-02-07T06:41:26Z,Buy,TRB,49,USD,391.56,19186.5,19186.5,0.0,Bought 49 TRB for $19186.5 USD
56,2019-02-07T18:38:51Z,Convert,HONEY,28,USD,0.2201,6.16,6.26,0.09,Converted 28 HONEY to 166.95 ASM
57,2019-02-08T11:44:24Z,Sell,ASM,57,USD,0.01771,1.01,1.02,0.02,Sold 57 ASM for $1.02 USD
58,2019-02-08T17:26:14Z,Recieve,NU,81,USD,0.2382,19.29,19.29,0.0,Recieved 81 NU from an external source
59,2019-02-10T07:08:04Z,Recieve,NCT,36,USD,0.00993,0.36,0.36,0.0,Recieved 36 NCT from an external source
60,2019-02-10T19:40:58Z,Buy,ANKR,1,USD,0.03738,0.04,0.04,0.0,Bought 1 ANKR for $0.04 USD
61,2019-02-10T21:34:55Z,Recieve,SUPER,71,USD,0.52325,37.15,37.15,0.0,Recieved 71 SUPER from an external source
62,2019-02-11T00:06:53Z,Sell,RARE,14,USD,0.2073,2.9,2.95,0.04,Sold 14 RARE for $2.95 USD
63,2019-02-11T11:08:35Z,Convert,NU,1,USD,0.1082,0.11,0.11,0.0,Converted 1 NU to 0.31 SUPER
64,2019-02-11T23:12:53Z,Recieve,SUPER,86,USD,0.68776,59.15,59.15,0.0,Recieved 86 SUPER from an external source
65,2019-02-13T07:09:43Z,Convert,NU,69,USD,0.3843,26.52,26.92,0.4,Converted 69 NU to 0.99 RGT
66,2019-02-14T08:33:12Z,Sell,RARE,79,USD,0.2218,17.52,17.79,0.26,Sold 79 RARE for $17.79 USD
67,2019-02-15T21:47:22Z,Buy,NCT,94,USD,0.04993,4.69,4.69,0.0,Bought 94 NCT for $4.69 USD
68,2019-02-17T06:24:28Z,Recieve,TRB,78,USD,317.3,24749.34,24749.34,0.0,Recieved 78 TRB from an external source
69,2019-02-17T10:44:50Z,Sell,NU,27,USD,0.0859,2.32,2.35,0.03,Sold 27 NU for $2.35 USD
70,2019-02-18T23:35:00Z,Recieve,NCT,29,USD,0.01879,0.55,0.55,0.0,Recieved 29 NCT from an external source
71,2019-02-20T13:49:16Z,Recieve,SUPER,57,USD,1.37963,78.64,78.64,0.0,Recieved 57 SUPER from an external source
72,2019-02-21T12:56:35Z,Buy,BAND,30,USD,2.895,86.85,86.85,0.0,Bought 30 BAND for $86.85 USD
73,2019-02-21T19:20:22Z,Buy,RGT,68,USD,5.58,379.68,379.68,0.0,Bought 68 RGT for $379.68 USD
74,2019-02-22T00:17:06Z,Buy,ASM,80,USD,0.06608,5.29,5.29,0.0,Bought 80 ASM for $5.29 USD
75,2019-02-23T00:47:04Z,Convert,LOOM,40,USD,0.0523,2.09,2.12,0.03,Converted 40 LOOM to 43.59 NCT
76,2019-02-24T10:49:16Z,Sell,HONEY,28,USD,0.863,24.17,24.53,0.36,Sold 28 HONEY for $24.53 USD
77,2019-02-25T05:24:33Z,Sell,NCT,75,USD,0.03541,2.66,2.7,0.04,Sold 75 NCT for $2.7 USD
78,2019-02-25T06:56:34Z,Buy,NU,90,USD,0.2281,20.52,20.52,0.0,Bought 90 NU for $20.52 USD
79,2019-02-26T04:09:26Z,Sell,BAND,47,USD,2.0,94.0,95.41,1.41,Sold 47 BAND for $95.41 USD
80,2019-02-26T10:41:02Z,Buy,RONIN,5,USD,2.721,13.61,13.61,0.0,Bought 5 RONIN for $13.61 USD
81,2019-02-26T21:21:51Z,Buy,NU,54,USD,0.2687,14.51,14.51,0.0,Bought 54 NU for $14.51 USD
82,2019-02-27T17:52:30Z,Convert,RGT,97,USD,9.2,892.38,905.77,13.39,Converted 97 RGT to 3232.94 NU
83,2019-02-27T23:32:27Z,Sell,ANKR,51,USD,0.02601,1.33,1.35,0.02,Sold 51 ANKR for $1.35 USD
84,2019-03-01T10:01:36Z,Recieve,LOOM,99,USD,0.0528,5.23,5.23,0.0,Recieved 99 LOOM from an external source
85,2019-03-02T03:46:21Z,Sell,SUPER,59,USD,0.39696,23.42,23.77,0.35,Sold 59 SUPER for $23.77 USD
86,2019-03-02T07:51:43Z,Buy,ASM,39,USD,0.08031,3.13,3.13,0.0,Bought 39 ASM for $3.13 USD
87,2019-03-02T09:00:53Z,Recieve,RARE,39,USD,0.1946,7.59,7.59,0.0,Recieved 39 RARE from an external source
88,2019-03-02T12:55:00Z,Buy,ASM,76,USD,0.05811,4.42,4.42,0.0,Bought 76 ASM for $4.42 USD
89,2019-03-02T13:19:42Z,Buy,SPA,1,USD,0.024977,0.02,0.02,0.0,Bought 1 SPA for $0.02 USD
90,2019-03-03T15:02:23Z,Buy,LTC,67,USD,68.99,4622.55,4622.55,0.0,Bought 67 LTC for $4622.55 USD
91,2019-03-03T16:33:30Z,Recieve,TRB,78,USD,24.06,1876.81,1876.81,0.0,Recieved 78 TRB from an external source
92,2019-03-03T16:58:09Z,Sell,RONIN,53,USD,2.456,130.16,132.11,1.95,Sold 53 RONIN for $132.11 USD
93,2019-03-06T05:04:47Z,Buy,HONEY,64,USD,0.933,59.71,59.71,0.0,Bought 64 HONEY for $59.71 USD
94,2019-03-06T13:58:04Z,Buy,ANKR,99,USD,0.03964,3.92,3.92,0.0,Bought 99 ANKR for $3.92 USD
95,2019-03-06T14:43:06Z,Sell,RGT,99,USD,31.39,3107.44,3154.05,46.61,Sold 99 RGT for $3154.05 USD
96,2019-03-07T09:35:10Z,Buy,BAND,17,USD,2.368,40.25,40.25,0.0,Bought 17 BAND for $40.25 USD
97,2019-03-07T15:05:05Z,Sell,NCT,25,USD,0.01509,0.38,0.38,0.01,Sold 25 NCT for $0.38 USD
98,2019-03-09T03:43:53Z,Recieve,HONEY,31,USD,0.1627,5.04,5.04,0.0,Recieved 31 HONEY from an external source
99,2019-03-10T06:02:55Z,Convert,RONIN,88,USD,3.782,332.83,337.83,4.99,Converted 88 RONIN to 384.09 SUPER
100,2019-03-11T12:13:13Z,Sell,BAND,61,USD,1.841,112.27,113.96,1.68,Sold 61 BAND for $113.96 USD
101,2019-03-12T06:41:30Z,Buy,TRB,96,USD,332.61,31930.75,31930.75,0.0,Bought 96 TRB for $31930.75 USD
102,2019-03-12T08:49:35Z,Sell,LTC,0,USD,95.62,0.0,0.0,0.0,Sold 0 LTC for $0.0 USD
103,2019-03-12T11:21:43Z,Sell,LOOM,78,USD,0.0891,6.95,7.05,0.1,Sold 78 LOOM for $7.05 USD
104,2019-03-13T05:12:44Z,Recieve,RGT,72,USD,12.54,902.95,902.95,0.0,Recieved 72 RGT from an external source
105,2019-03-15T04:18:32Z,Sell,BAND,53,USD,2.348,124.44,126.3,1.87,Sold 53 BAND for $126.3 USD
106,2019-03-17T04:03:00Z,Buy,RGT,6,USD,19.29,115.72,115.72,0.0,Bought 6 RGT for $115.72 USD
107,2019-03-17T13:31:40Z,Convert,TRB,61,USD,392.72,23956.0,24315.34,359.34,Converted 61 TRB to 5846339.62 SPA
108,2019-03-19T03:14:05Z,Buy,TRB,71,USD,352.82,25050.43,25050.43,0.0,Bought 71 TRB for $25050.43 USD
109,2019-03-19T19:03:54Z,Recieve,RARE,82,USD,0.1537,12.61,12.61,0.0,Recieved 82 RARE from an external source
110,2019-03-20T07:16:37Z,Buy,LOOM,88,USD,0.0459,4.04,4.04,0.0,Bought 88 LOOM for $4.04 USD
111,2019-03-22T08:00:34Z,Recieve,LTC,68,USD,64.89,4412.26,4412.26,0.0,Recieved 68 LTC from an external source
112,2019-03-22T13:00:03Z,Buy,DOGE,57,USD,0.1578,8.99,8.99,0.0,Bought 57 DOGE for $8.99 USD
113,2019-03-23T16:40:09Z,Recieve,NU,81,USD,0.4013,32.5,32.5,0.0,Recieved 81 NU from an external source
114,2019-03-23T19:10:39Z,Recieve,RARE,68,USD,0.123,8.37,8.37,0.0,Recieved 68 RARE from an external source
115,2019-03-24T09:33:24Z,Convert,BAND,39,USD,1.143,44.59,45.26,0.67,Converted 39 BAND to 92.67 HONEY
116,2019-03-25T04:40:26Z,Convert,NU,53,USD,0.2314,12.26,12.45,0.18,Converted 53 NU to 317.3 LOOM
117,2019-03-25T22:57:08Z,Sell,SUPER,80,USD,0.70109,56.09,56.93,0.84,Sold 80 SUPER for $56.93 USD
118,2019-03-26T13:37:34Z,Sell,DOGE,38,USD,0.11616,4.41,4.48,0.07,Sold 38 DOGE for $4.48 USD
119,2019-03-26T16:31:41Z,Recieve,BAND,40,USD,2.43,97.19,97.19,0.0,Recieved 40 BAND from an external source
120,2019-03-28T04:15:05Z,Sell,ASM,80,USD,0.09434,7.55,7.66,0.11,Sold 80 ASM for $7.66 USD
121,2019-03-28T05:19:15Z,Sell,RONIN,83,USD,3.366,279.34,283.53,4.19,Sold 83 RONIN for $283.53 USD
122,2019-03-30T06:20:07Z,Convert,SUPER,25,USD,0.44861,11.22,11.38,0.17,Converted 25 SUPER to 440.26 SPA
123,2019-03-30T14:24:30Z,Buy,SUPER,78,USD,0.24624,19.21,19.21,0.0,Bought 78 SUPER for $19.21 USD
124,2019-03-31T16:55:49Z,Convert,SUPER,31,USD,0.74147,22.99,23.33,0.34,Converted 31 SUPER to 6698.26 SPA
125,2019-03-31T17:05:48Z,Buy,ANKR,84,USD,0.02218,1.86,1.86,0.0,Bought 84 ANKR for $1.86 USD
126,2019-04-01T00:57:47Z,Sell,NU,72,USD,0.4228,30.44,30.9,0.46,Sold 72 NU for $30.9 USD
127,2019-04-02T16:49:29Z,Recieve,SPA,59,USD,0.027064,1.6,1.6,0.0,Recieved 59 SPA from an external source
128,2019-04-04T00:30:28Z,Recieve,LOOM,94,USD,0.062,5.83,5.83,0.0,Recieved 94 LOOM from an external source
129,2019-04-04T05:53:06Z,Sell,LTC,60,USD,100.81,6048.45,6139.18,90.73,Sold 60 LTC for $6139.18 USD
130,2019-04-04T09:13:49Z,Buy,ANKR,60,USD,0.03069,1.84,1.84,0.0,Bought 60 ANKR for $1.84 USD
131,2019-04-05T10:54:38Z,Convert,RGT,10,USD,4.06,40.58,41.18,0.61,Converted 10 RGT to 69.56 SUPER
132,2019-04-06T12:00:44Z,Sell,HONEY,87,USD,0.9419,81.94,83.17,1.23,Sold 87 HONEY for $83.17 USD
133,2019-04-08T11:46:59Z,Sell,RGT,78,USD,7.33,571.7,580.27,8.58,Sold 78 RGT for $580.27 USD
134,2019-04-08T15:52:26Z,Sell,RARE,41,USD,0.108,4.43,4.5,0.07,Sold 41 RARE for $4.5 USD
135,2019-04-09T10:32:40Z,Buy,LOOM,96,USD,0.0786,7.54,7.54,0.0,Bought 96 LOOM for $7.54 USD
136,2019-04-10T02:57:26Z,Buy,NCT,67,USD,0.05153,3.45,3.45,0.0,Bought 67 NCT for $3.45 USD
137,2019-04-10T07:39:36Z,Recieve,LTC,30,USD,93.08,2792.36,2792.36,0.0,Recieved 30 LTC from an external source
138,2019-04-11T23:49:05Z,Buy,ASM,94,USD,0.16218,15.24,15.24,0.0,Bought 94 ASM for $15.24 USD
139,2019-04-12T17:09:15Z,Buy,NU,89,USD,0.4442,39.54,39.54,0.0,Bought 89 NU for $39.54 USD
140,2019-04-13T01:02:16Z,Convert,RONIN,37,USD,4.379,162.03,164.46,2.43,Converted 37 RONIN to 2637.71 ANKR
141,2019-04-13T07:20:38Z,Buy,ASM,12,USD,0.03635,0.44,0.44,0.0,Bought 12 ASM for $0.44 USD
142,2019-04-13T16:49:00Z,Recieve,BAND,79,USD,1.72,135.84,135.84,0.0,Recieved 79 BAND from an external source
143,2019-04-14T01:11:47Z,Sell,NU,0,USD,0.2955,0.0,0.0,0.0,Sold 0 NU for $0.0 USD
144,2019-04-14T18:46:56Z,Buy,LTC,89,USD,63.37,5639.76,5639.76,0.0,Bought 89 LTC for $5639.76 USD
145,2019-04-15T07:04:09Z,Recieve,DOGE,53,USD,0.07498,3.97,3.97,0.0,Recieved 53 DOGE from an external source
146,2019-04-15T12:11:17Z,Convert,ANKR,3,USD,0.03826,0.11,0.12,0.0,Converted 3 ANKR to 0.11 SUPER
147,2019-04-15T12:41:32Z,Buy,ASM,7,USD,0.03886,0.27,0.27,0.0,Bought 7 ASM for $0.27 USD
148,2019-04-15T13:13:10Z,Convert,TRB,32,USD,482.99,15455.62,15687.46,231.83,Converted 32 TRB to 182.87 LTC
149,2019-04-16T22:42:46Z,Recieve,NCT,13,USD,0.03869,0.5,0.5,0.0,Recieved 13 NCT from an external source
150,2019-04-17T05:43:04Z,Buy,RARE,90,USD,0.1389,12.5,12.5,0.0,Bought 90 RARE for $12.5 USD
151,2019-04-17T21:04:05Z,Sell,SPA,85,USD,0.026184,2.23,2.26,0.03,Sold 85 SPA for $2.26 USD
152,2019-04-18T01:47:59Z,Recieve,HONEY,81,USD,0.353,28.59,28.59,0.0,Recieved 81 HONEY from an external source
153,2019-04-20T10:52:54Z,Buy,SPA,72,USD,0.004763,0.34,0.34,0.0,Bought 72 SPA for $0.34 USD
154,2019-04-21T14:30:19Z,Recieve,ASM,34,USD,0.12414,4.22,4.22,0.0,Recieved 34 ASM from an external source
155,2019-04-21T15:38:25Z,Recieve,RARE,32,USD,0.1526,4.88,4.88,0.0,Recieved 32 RARE from an external source
156,2019-04-22T03:07:14Z,Buy,BAND,82,USD,2.446,200.56,200.56,0.0,Bought 82 BAND for $200.56 USD
157,2019-04-22T18:06:40Z,Recieve,SPA,64,USD,0.009337,0.6,0.6,0.0,Recieved 64 SPA from an external source
158,2019-04-23T07:22:58Z,Recieve,RONIN,3,USD,3.722,11.17,11.17,0.0,Recieved 3 RONIN from an external source
159,2019-04-23T18:00:53Z,Buy,HONEY,63,USD,0.7024,44.25,44.25,0.0,Bought 63 HONEY for $44.25 USD
160,2019-04-23T21:30:47Z,Buy,HONEY,61,USD,0.2417,14.74,14.74,0.0,Bought 61 HONEY for $14.74 USD
161,2019-04-25T06:21:18Z,Recieve,RONIN,76,USD,3.531,268.39,268.39,0.0,Recieved 76 RONIN from an external source
162,2019-04-25T17:43:22Z,Sell,TRB,57,USD,78.48,4473.32,4540.42,67.1,Sold 57 TRB for $4540.42 USD
163,2019-04-26T00:13:21Z,Recieve,BAND,26,USD,2.212,57.51,57.51,0.0,Recieved 26 BAND from an external source
164,2019-04-26T15:21:10Z,Sell,TRB,93,USD,205.66,19126.21,19413.1,286.89,Sold 93 TRB for $19413.1 USD
165,2019-04-27T01:42:40Z,Sell,NU,88,USD,0.1453,12.78,12.98,0.19,Sold 88 NU for $12.98 USD
166,2019-04-28T10:27:11Z,Buy,RGT,54,USD,13.75,742.58,742.58,0.0,Bought 54 RGT for $742.58 USD
167,2019-04-28T10:28:29Z,Convert,RARE,36,USD,0.2154,7.76,7.87,0.12,Converted 36 RARE to 141.4 NCT
168,2019-04-29T17:01:35Z,Sell,SPA,76,USD,0.02737,2.08,2.11,0.03,Sold 76 SPA for $2.11 USD
169,2019-04-30T17:22:54Z,Recieve,RONIN,35,USD,4.367,152.85,152.85,0.0,Recieved 35 RONIN from an external source
170,2019-05-03T00:59:04Z,Buy,RARE,24,USD,0.212,5.09,5.09,0.0,Bought 24 RARE for $5.09 USD
171,2019-05-03T14:39:44Z,Buy,ASM,59,USD,0.14447,8.52,8.52,0.0,Bought 59 ASM for $8.52 USD
172,2019-05-04T08:58:53Z,Recieve,RGT,59,USD,23.98,1414.91,1414.91,0.0,Recieved 59 RGT from an external source
173,2019-05-04T13:00:27Z,Convert,LTC,83,USD,81.65,6777.35,6879.01,101.66,Converted 83 LTC to 485321.68 SPA
174,2019-05-04T15:03:38Z,Buy,DOGE,37,USD,0.18118,6.7,6.7,0.0,Bought 37 DOGE for $6.7 USD
175,2019-05-05T14:49:21Z,Convert,SUPER,65,USD,1.19739,77.83,79.0,1.17,Converted 65 SUPER to 0.15 TRB
176,2019-05-05T18:15:56Z,Recieve,NCT,33,USD,0.01374,0.45,0.45,0.0,Recieved 33 NCT from an external source
177,2019-05-06T11:58:16Z,Sell,LTC,60,USD,93.17,5589.98,5673.83,83.85,Sold 60 LTC for $5673.83 USD
178,2019-05-07T03:51:41Z,Buy,DOGE,21,USD,0.10882,2.29,2.29,0.0,Bought 21 DOGE for $2.29 USD
179,2019-05-07T04:19:41Z,Convert,RGT,85,USD,22.0,1869.9,1897.95,28.05,Converted 85 RGT to 25521.24 RARE
180,2019-05-08T04:42:56Z,Recieve,ANKR,43,USD,0.05702,2.45,2.45,0.0,Recieved 43 ANKR from an external source
181,2019-05-08T06:30:04Z,Sell,SPA,40,USD,0.004294,0.17,0.17,0.0,Sold 40 SPA for $0.17 USD
182,2019-05-09T04:00:26Z,Sell,HONEY,84,USD,0.2514,21.12,21.44,0.32,Sold 84 HONEY for $21.44 USD
183,2019-05-09T09:44:58Z,Buy,NU,69,USD,0.3902,26.93,26.93,0.0,Bought 69 NU for $26.93 USD
184,2019-05-09T12:24:23Z,Sell,SPA,71,USD,0.022836,1.62,1.65,0.02,Sold 71 SPA for $1.65 USD
185,2019-05-09T12:41:52Z,Sell,DOGE,80,USD,0.14112,11.29,11.46,0.17,Sold 80 DOGE for $11.46 USD
186,2019-05-09T13:14:13Z,Sell,DOGE,74,USD,0.14867,11.0,11.17,0.17,Sold 74 DOGE for $11.17 USD
187,2019-05-09T14:39:31Z,Recieve,NU,42,USD,0.1158,4.86,4.86,0.0,Recieved 42 NU from an external source
188,2019-05-09T17:43:38Z,Sell,RONIN,13,USD,4.105,53.37,54.17,0.8,Sold 13 RONIN for $54.17 USD
189,2019-05-09T23:07:13Z,Convert,RARE,11,USD,0.2078,2.29,2.32,0.03,Converted 11 RARE to 106.75 SPA
190,2019-05-10T13:53:42Z,Sell,HONEY,36,USD,0.1734,6.24,6.34,0.09,Sold 36 HONEY for $6.34 USD
191,2019-05-12T06:19:10Z,Recieve,SUPER,26,USD,0.97191,25.27,25.27,0.0,Recieved 26 SUPER from an external source
192,2019-05-12T10:14:49Z,Recieve,LTC,26,USD,103.87,2700.72,2700.72,0.0,Recieved 26 LTC from an external source
193,2019-05-12T11:20:31Z,Recieve,TRB,68,USD,219.66,14936.9,14936.9,0.0,Recieved 68 TRB from an external source
194,2019-05-14T22:37:46Z,Buy,RARE,99,USD,0.2271,22.48,22.48,0.0,Bought 99 RARE for $22.48 USD
195,2019-05-15T06:26:03Z,Recieve,HONEY,82,USD,0.4345,35.63,35.63,0.0,Recieved 82 HONEY from an external source
196,2019-05-15T21:41:35Z,Convert,ANKR,94,USD,0.04549,4.28,4.34,0.06,Converted 94 ANKR to 132.48 NCT
197,2019-05-16T01:07:21Z,Recieve,NCT,79,USD,0.04961,3.92,3.92,0.0,Recieved 79 NCT from an external source
198,2019-05-16T06:12:24Z,Sell,HONEY,88,USD,0.13,11.44,11.61,0.17,Sold 88 HONEY for $11.61 USD
199,2019-05-17T12:40:41Z,Sell,BAND,19,USD,1.447,27.49,27.9,0.41,Sold 19 BAND for $27.9 USD
200,2019-05-17T15:38:49Z,Sell,ANKR,93,USD,0.03756,3.49,3.55,0.05,Sold 93 ANKR for $3.55 USD
201,2019-05-19T12:20:21Z,Convert,LTC,39,USD,59.4,2316.65,2351.4,34.75,Converted 39 LTC to 39834.49 ASM
202,2019-05-20T06:08:24Z,Recieve,LTC,73,USD,109.26,7976.16,7976.16,0.0,Recieved 73 LTC from an external source
203,2019-05-21T10:46:41Z,Buy,BAND,27,USD,1.728,46.65,46.65,0.0,Bought 27 BAND for $46.65 USD
204,2019-05-21T13:14:48Z,Convert,ANKR,43,USD,0.01759,0.76,0.77,0.01,Converted 43 ANKR to 1.07 HONEY
205,2019-05-22T21:36:40Z,Recieve,LOOM,43,USD,0.1476,6.35,6.35,0.0,Recieved 43 LOOM from an external source
206,2019-05-24T10:50:45Z,Convert,TRB,39,USD,215.7,8412.43,8538.62,126.19,Converted 39 TRB to 234870.33 NCT
207,2019-05-25T08:32:40Z,Recieve,RONIN,59,USD,3.621,213.63,213.63,0.0,Recieved 59 RONIN from an external source
208,2019-05-25T12:09:55Z,Sell,ASM,59,USD,0.15234,8.99,9.12,0.13,Sold 59 ASM for $9.12 USD
209,2019-05-26T01:13:16Z,Recieve,DOGE,51,USD,0.17145,8.74,8.74,0.0,Recieved 51 DOGE from an external source
210,2019-05-26T07:00:05Z,Recieve,NU,1,USD,0.3382,0.34,0.34,0.0,Recieved 1 NU from an external source
